,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount,side_effect,effectiveness
222,55-64,Osteoporosis,2014-05-10,prolia syringe,154218,5,5,"I just had my third injection of Prolia and may be one of the lucky ones.  I had been taking Boniva through infusion and had horrible side effects.  With Prolia, I have not had any negative side effects.  It is an injection that takes less than a minute to administer and only needs to be done once every 6 months!  Am having another bone scan in 2 months and am hoping my T scores have improved.  ",4,Female, ,34,0.9993857,0.999403
223,45-54,Osteoporosis,2014-04-28,prolia syringe,154218,1,1,"I see comments from some saying ""ignore the bad reviews, this drug worked fine for me"" and I have to say do so at your own peril.  I followed their advise and ignored the warnings and ended up angry that this drug was ever approved and at those who try to make those who had bad experiences appear to be whiners.  I have to wonder if they actually work for Amgen, considering the sheer volume of us I've found online.  Something is seriously wrong here.

One week after my shot (October 2012) I had an infection of the jawbone and it only went downhill from there.  I was sick, in and out of my doctor's office and the hospital for 6 months, but it didn't end there.  i had bone infections, pain in my thigh, lung infections, shingles, anemia and caught everything that was within 15 miles of me.  I'm pretty sure that my immune system was completely shut down and is still, eighteen months later only working at 1/4 of what it used to be.

I took this drug to prevent fractures, but it robbed me of my life for at least six months.  i do not think the cost was worth it and am pretty much convinced now that this is a scam and we are the guinea pigs.

They had to cancel the trials on multiple myeloma patients because 2x as many of them died when using Prolia.

I'm not sure why some have reactions and others don't, but I think it is highly questionable to allow these drug dealers to put this out there without having a clue.  To make it appear as though the side effects are a minimal risk when clearly they are not and to give the impression that the side effects are harmless when they are debilitating (which my OP was not) is at best disingenuous.

I would never take this drug again and my doctor agrees.",1,Female, ,82,0.9920232,0.0041437102
224,55-64,Osteoporosis,2014-04-27,prolia syringe,154218,5,1,"I took Prolia subcutaneous at the recommendation of my Dr. I WILL NOT TAKE IT AGAIN.  I have been miserable...leg cramps, hand cramps, (back and abdominal cramps at times. Pain in my flank, back, legs, and shoulders, fluid retention...According to the manufacturer you take this every 6 months, I have another 2 months for this to wear off, understandably osteoporosis is a huge concern, but quality of life is also an issue and this has made mine awful...I do not recommend anyone taking this!!!!
",1,Female, ,58,0.9995359,0.00060365244
225, ,Osteoporosis,2014-04-22,prolia syringe,154218,1,1,"My 90 year old mother-in-law took prolia a month ago. After two weeks, she noticed cold sores on her lip and tingling in her fingers and toes.  She's has severe back pain, weak, has no appetite and has flu like symptoms. She's worse now than before the injection. The elderly should not be given this shot.",1,Female, ,59,0.9995214,0.0006648945
226,55-64,Osteoporosis,2014-04-20,prolia syringe,154218,3,2,"I got my first Prolia injection on April 16, 2014. The day after the injection i have had dull aching pain in my backside flanks where the kidneys are along with upper abdominal pain, headache, upper leg pain that comes and goes. I seriously thinking i will not do this injection again. I have just felt like ""crap"".
",1,Female, ,43,0.99936384,0.00039741784
227,75 or over,Aromatase Inhibitor Drug-Induced Osteoporosis,2014-04-15,prolia syringe,154218,1,1,"I had breathing problems for 2 months, ear blockage for 5 months(still have), infection in diverticulitis needed 24 days of IV medication, chest tightness and tiredness.  I had one shot in July and am still feeling the effects with my ears and I may be deaf from it.",1,Female, ,0,0.9998493,0.0023924126
228,55-64,Osteoporosis,2014-04-15,prolia syringe,154218,1,1,"I had my first shot in January and by end of February started having pain and throbbing in my legs.  My left hip hurt terribly for a couple weeks and then it moved to my right hip and legs where I was limping and unable to go up stairs with my right side leading.  I have spent a full 2 months tired, in pain and even visiting the doctor begging for pain pills that had no effect at all.  It is now the 3rd month and I am walking better but the throbbing and effort to get up and start moving smoothly is tough.  I have not exercised in 2 months as it seemed to aggravate it.  Massage therapy aggravated it as well.  I will never take this drug and plan on living a healthier lifestyle with exercise if that's even possible as I wait every day for this to get better!",1,Female, ,47,0.9999187,0.1250177
229,55-64,Osteoporosis,2014-04-12,prolia syringe,154218,4,2,"I just had my first shot yesterday,  April 11, 2014 after 2 years of being scared to take it - despite my very low bone density scores of -2.5 in hips and -3.4 in the spine.  I am a 57 year old female with a genetic disposition for the disease.
After a freak tibia-plateau fracture 4 years ago, I learned I had severe osteo and I changed my diet, started working out with weights 3 times weekly, and used Forteo for 2 years.  Unfortunately, the Forteo was not as successful for me as for most.  
     I have been absolutely petrified to take this shot, but 3 doctors in 3 different cities suggested I strongly try it.  
     I am documenting daily the effects.  Yesterday after the shot I had itching and pain in my muscles - not bad, though.   It was difficult to fall asleep last night. Today I have experienced itching in a variety of places and cramps in my calves and thighs.",2,Female, ,48,0.99924916,0.9942729
230,65-74,Osteoporosis,2014-04-04,prolia syringe,154218,4,1,"WOW! I am so thankful I came across this website. I have taken Prolia 2 times. At first didn't notice any difference, as I had a heart attack before that, and put all the symptoms down to that, lethargy,fatique, the whole bit, until the last few months. I started with back pain, had shots for that, but since my last shot of Prolia in January have had horrible pain in my groin, hip and back.I am due to see the doctor in a couple days, and sure will take some of these reviews with me. Thanks so much. Maybe I will get my life back in a few months. I pray it does not have any lasting effects after the six months is up!",1,Female, ,63,0.99960405,0.9976005
231,65-74,Osteoporosis,2014-03-27,prolia syringe,154218,1,1,3 months after my 1st and last Prolia injection I developed aching arms and legs to the point I had difficulty walking and lifting my arms up. Had severe headaches and eventually was diagnosed with Polymyalgia Rheumatica and Temporal Arteritis. Am now on prednisone and told I will be for 18 months. Fortunately I started Prednisone before losing my eyesight due to the Temporal Arteritis. I wish I had never taken Prolia and feel I should have been told about the drug when it was prescribed.,1,Female, ,49,0.99992025,0.06962743
232,55-64,Osteoporosis,2014-03-27,prolia syringe,154218,1,1,"I have had my second shot of Prolia for my Osteoporosis February 2014.I have become very ill from this drug.  Three severe lung infections over the past 6 months, 2 chest X-rays, antibiotics, SEVERE! cough, Severe chest pain, leg cramps, skin irritations, exhaustion,loss of sleep, watering eyes,runny nose, hearing loss...it goes on and on. I WILL NEVER NEVER NEVER take this medication again. Finally my physician said all my illness must be stemming from the Prolia. I have been a very healthy and active person prior to taking this med. I called the FDA and reported all side effects and I filled out the forms they sent to me.  I recommend that you do the same, either call or go on FDA web site.  This is a toxic drug with miserable and devastating side effects. Please reconsider taking this medication if your Dr. prescribes this. READ, inform yourself, ask questions. The severe side effects are NOT worth the potential????help from the drug. Get a second, third opinion. Cherish your beloved life. 
  ",1,Female, ,78,0.9989976,0.046422336
233,65-74,Osteoporosis,2014-03-24,prolia syringe,154218,5,1,"I previously wrote regarding side affects from prolia. Amgen Health advised me to have my hearing checked as I wear hearing aides and cannot hear well with them on anymore. I had my hearing test today. Since my last hearing test in July 2013, one month before taking the second Prolia shot, I have lost 25% more of my hearing.  I was told that this amount of hearing loss in 7 months is unpresented with no injury.  You could not pay me to take prolia again.  I had a serious lung infection for 3 month, sharp increase in cholesteral and now hearing loss.   Stay away from this toxic drug!!! ",1,Female, ,46,0.99972516,0.0016235667
234,55-64,Osteoporosis,2014-03-19,prolia syringe,154218,3,1,"After 3rd shot: Bronchitis for 2 1/2 months, 2 Dr visits, RX antibiotic,

At same time:  Eye twitching, 2 eye Dr visits, MRI neg, Dental visit w/neg CT scan,

Primary Phy said he never heard of all these problems from Prolia,

Currently:  Skin breaking out in severe rash, itch;  watery eye, running nose, swelling in eye lid.

Last shot (3rd) was 3 months ago.  All that Dr's do is tests with neg results. 

So far Fosamax gave me hives which sent me to E/R so that's out.  Boniva caused heartburn which also required E/R.  Actonel gave me issues too.   ",1,Female, ,56,0.99933976,0.00056774117
235,65-74,Osteoporosis,2014-03-17,prolia syringe,154218,5,1,"I have been on Prolia for a year and had two shots.  Two months after my second shot I developed bronchitis and was put on medication.  I never got better and continued to be sick with a terrible cough and difficulty breathing. I was in the ER for this.  Finally a pulmonologist saw me and said I had a serious deep lung infection, possibly Community Acquired MRSA. I have been on a heavy duty antibiotic for 3 weeks and finally am starting to feel better.  My LDL Cholesterol jumped 40 points in the last 4 months. I am having hearing difficulties and terrible cramping in my legs and feet.  I called Amgen Health as suggested by another reviewer and they feel all of my problems are probably related to the Prolia. Needless to say, NO MORE Prolia for me.  The cure is worse than the condition it is treating. ",1,Female, ,39,0.9998927,0.007396748
236,55-64,Osteoporosis,2014-03-05,prolia syringe,154218,1,1,"I had my first Prolia shot in Oct.""13. About 6 weeks later had had horrible pain in hip, calve and a numb foot- horrible. I had xrays, an ultrasound and rounds of acupuncture, took Tramadol. NOTHING helped. No one could tell me what was wrong . Then it dawned on me, the Prolia! I am due for a second shot in April. There is no way I am going thru that again. and I can not tolerate oral meds. I intend on just continuing my calcium and Vit. D",1,Female, ,48,0.99974066,0.9965988
237,55-64,Aromatase Inhibitor Drug-Induced Osteoporosis,2014-03-01,prolia syringe,154218,5,2,"I have had terrible muscle pain in my neck since the first injection (have had 2). Does anyone else have this problem? Also, after 1st injection (about 3 wks) I got a bladder infection. I am 2 weeks out on my 2nd shot.",2,Female, ,1,0.99986684,0.004495605
238,65-74,Osteoporosis,2014-02-27,prolia syringe,154218,5,1,"Bone mass loss recently put me in the category of osteoporosis. Have had two injections. I was a healthy active person with no other medical history. A few weeks after the 2nd injection I experienced hip and back pain that completely changed my life. The cost of the drug pales in comparison to what I have paid out for various therapies. The pain was severe and totally inexplicable; I did not 'hurt' my back, had done nothing unusual. I am a fit person and am not overweight. It is slowly easing up  2 months later. I don't know what to do next as I can't tolerate the oral meds. But one thing's for sure…I regret taking Prolia in the first place, wish I had done my research and will NOT take Prolia again. I'm happy for those who have had no side effects but they seem to be in the minority.",1,Female, ,76,0.9998578,0.98263997
239,65-74,Aromatase Inhibitor Drug-Induced Osteoporosis,2014-02-16,prolia syringe,154218,5,1,"I have had three Prolia injections and the side effects make the drug intolerable for me.
Each time I received an injection I began to feel very ill within five days. Hip pain so severe that walking was difficult, couldn't raise my right leg to sit on couch - had to lift it up. Ribs were so sore I couldn't touch them, severe fatigue, bladder infection, felt so crummy that I really didn't care whether I lived or died. It has been 25 days since the current vaccination and I am finally feeling better, thanks to Cipro and Percocet. I'm not sure why the side effects have worsened with each shot, but I do know that I will not be taking this drug again. ",1,Female, ,1,0.99988174,0.0031684525
240,65-74,Osteoporosis,2014-02-08,prolia syringe,154218,5,1,Hell and I hope I survive all the the health problems Prolia has caused. Should be taken off the market.,1,Male, ,58,0.9943619,0.0006294013
241,75 or over,Osteoporosis,2014-01-24,prolia syringe,154218,5,5,I am about to have my 5th injection of Prolia.  I've just had a bone density test and have a 10% improvement in my hips and spine. My doctor (endocrinologist) has told me that even if there is not any improvement and the bones remain the same that that is good!  When taking Fosamax my bones decreased with each scan.  I'm very happy. I do go to the gym 3x a week and am very active.  I have not had any side effects.  It's just like a flu shot for me.  I get the shot and then forget about it for 6 months.,5,Female, ,53,0.999019,0.99963903
242,65-74,Aromatase Inhibitor Drug-Induced Osteoporosis,2014-01-23,prolia syringe,154218,1,3,"My 1st injection was a yr ago, and my 2nd was a month ago.  This 2nd time, I had to get pre-approval, but no one told me that the patient cost was $900.  Also, within a day or so, I was nauseated, dizzy, weak, flu type symptoms -- all these lasted a week.  Now, my hands/fingers hurt so bad & my left thumb can't even button my blouse.  After reading the FDA letter to physicians & the $900. bill I am stuck with, I doubt I will ever take again.  I have been on Femara 6 yrs (aromatase inhibitor) - but will try to figure out other treatments: more vitamins, etc.  Feeling horrible & all the risks aren't worth spending $900.",1,Female, ,0,0.9997937,0.001746402
243,65-74,Osteoporosis in Men due to Deficient Function of Testis,2014-01-16,prolia syringe,154218,4,3,Was given this 3 months ago along with my 4th shot of LUPRON.  Low bone density from age and Lupron shots - Prostate Cancer treatment after operation.  No side effects noticed / Dr. never told me what this was or what to expect - Go figure.  Will jump his butt next time!,3,Male, ,2,0.9997507,0.9935999
244,55-64,Osteoporosis,2014-01-16,prolia syringe,154218,5,4,"I haven't had any side effects like I do with Boniva and the others where I can't swallow, but the jury is still out on whether it's helping or not. I won't know until my next bone scan.",5,Female, ,36,0.99933964,0.9982199
245,55-64,Osteoporosis,2014-01-14,prolia syringe,154218,5,1,I took about 3 injections with no recognizable side effects but continued to have bone loss. Just had a bone scan showing the bone loss. Now on to Reclast.,1,Female, ,27,0.99963534,0.99865097
246,45-54,Osteoporosis,2014-01-02,prolia syringe,154218,5,1,"My first injection was 9 months ago.  Real easy to get a shot.  No side effects at all.  Then my 2nd shot 3 months ago.  I haven't been able to sleep at night because of the severe back, leg and hip pain.  Didn't know until today that it was the Prolia that was causing it.  I sure wish I had read some reviews instead of the pamphlet that came with the medicine before I agreed to take it.  Real life experiences of other people tell you more than what a doctor can.  If I had to do it over again I would not take this drug.  My hips and legs hurt so bad now that I cannot rest.  I am more fatigued than ever.  I realize drugs react on different people in different ways.  Just make sure you read and research and make an educated decision, not just on the advice of your doctor.  Some of them ""sell"" drugs while prescribing the latest and greatest thing.  I won't be taking another shot.  Good luck with your decision.",1,Female, ,57,0.9989436,0.030273648
247,55-64,Osteoporosis,2013-12-26,prolia syringe,154218,1,1,"look, i have osti and RA and have severe stomach issues due to FDA, PIGGY BIG PHAR, PIGGY ORTHODOX MED COMMUNITY; I WOULD NOT TAKE THIS OR ANY OF THESE DRUGS IF MY LIFE DEPENDED ON IT!!  Good reviews here are Piggy pharm and pot kept me off this crap for over 10 years!!!  THESE DRUGS ARE NO GOOD, USE MED MARY JANE FOR RA, i resent having to take ib pro or any of this crap now that i can no longer get med. mary these people promoting this crap are the devil",1,Female, ,13,0.99871767,0.0012161894
248,55-64,Osteoporosis,2013-12-10,prolia syringe,154218,1,1,"It's been a few months since I got my first injection. A few weeks after I received the shot I started having pain in my lower back, knees, right hip and shoulders. It has worsened so much that I wake up at night and have to roll gingerly to my other side due to great pain. I have a crack in a molar. Yesterday I found out that my insurance company was charged over $9,000.00 for the one injection. I called the hospital and they claimed that was correct. That is outrageous. Of course I will not be getting another injection. I am 62 years old but now I feel like I am 92. ",1,Female, ,46,0.9996455,0.0011359936
249,65-74,Osteoporosis,2013-12-09,prolia syringe,154218,5,1,"I have had two injections of Prolia and one bone scan showing no improvement.  The respones here focus on ease of taking the medication and frequent side effects.  I have not had negative side effects and so my focus is on effectiveness.  I find little in these reviews that addresses effectiveness of Prolia.  The over all rating gives 3 stars to effectiveness, that is little more than 50 percent.  I need more information to assess the effectiveness of Prolia, which is all that is important, not just that you feel great after a shot or two. ",1,Female, ,20,0.9996178,0.99163496
250,75 or over,Osteoporosis,2013-12-07,prolia syringe,154218,1,1,"I am not certain of the effectiveness of Prolia. I was injected on September 12, 2013. Since that time I have lost a great deal of strength, had pains in my jaw, but more pronounced in the hip joint. The weakness has caused my light case of asthma to be much more pronounced and have struggled to breath. My blood count dropped and I was hospitalized for two days. Also I have been to the ER.",1,Female, ,32,0.99985397,0.010897469
251,55-64,Osteoporosis,2013-12-01,prolia syringe,154218,5,1,"had side effects within a few hours of injection, started with muscle tightness and tightness in the chest then went on to feeling of weakness and tiredness. At three weeks I have flu like symptoms, swollen tongue and tightness in throat. Taking antihistamines as required to calm bouts of stronger symptoms. Will take my chances and not continue this medication. ",1,Male, ,28,0.9998381,0.0012588864
252,65-74,Osteoporosis,2013-11-23,prolia syringe,154218,3,1,"Three months after my 2nd shot I started having severe pain in my neck, arms, thigh, groin and hip area, all of my joints and muscles.  My GP gave me pain shots for two weeks.  That was five months ago and it has eased up some, but I cannot walk the two miles three times a week that I was doing before I took this medication. I've tried Tylenol 3, Advil, and Aleve. My shoulder joints hurt so bad at night I can hardly sleep.  They told me it was out of my system three months after the second shot even though it was supposed to last six months; not so, I think it just kicked in.  The person who gave me the shots said it couldn't be the Prolia, but I certainly didn't have all of this before I took it.I'll never take it again.",1,Female, ,40,0.9997565,0.0019734285
253,75 or over,Osteoporosis,2013-11-20,prolia syringe,154218,3,1,"Severe, constipation! Severe gastric pain! Headaches, Migraines, spend my days in bed, more then once. This has been hell. Will be a mo on Nov 25. I cannot believe I have to go through this misery for over five more mos. I keep hoping please let it end. Never,never, again. My whole body hurts. Now I know first hand what lab animals go through. Nothing should suffer like this.",1,Female, ,42,0.99930394,0.0006719832
254,75 or over,Osteoporosis,2013-11-18,prolia syringe,154218,1,1,"Last injection caused extreme tirdness for
4 or 5 day before returning to normal.",1,Female, ,17,0.9992042,0.16355582
255,55-64,Osteoporosis,2013-11-09,prolia syringe,154218,5,2,I have had 1 shot back in May 2013 due for 2nd one but do not think I will take it. The pain in spine and then in left hip has gotten so bad I can barely walk. It feels like a sharp stick is sticking me in a open wound in my left hip and groan area. So exhausted all the time and feel pain in all joints. Was hoping for miracle but did not get it.   ,1,Female, ,36,0.9998242,0.0015796617
256,75 or over,Osteoporosis,2013-11-05,prolia syringe,154218,4,1,"I received an injection 10/24/13Have had terrible headache ever since. I go to bed with them, wake up with them,have them all day. some so bad my imatrex only works for a very short time, then they are back. constipation is bad,yea I do have tom take a few other meds,also very sensitive to all meds, because I have Fibromyalgia for 25 yrs now. this is on my medical record  I can only get 9 pills a mo for my Migraines. Have heartburn every day, gastric pain.I have been miserable, cranky, go no where except to the doctors. Will see my pain specialist this week Hope she can help me for more then a couple days. God bless all that have been helped. I cannot believe I will have to live with this for six mos. Each day I get up hoping it will be a better day. ",1,Female, ,27,0.99982053,0.004223965
257,55-64,Osteoporosis,2013-11-04,prolia syringe,154218,5,3,I have had my 3rd injection of this drug with no side effects....I won't know if it is working until after the 4th injection when they do another bone scan.I took Fosamax and had horrible side effects so I an really hoping this drug is effective.,5,Female, ,21,0.99942064,0.99820375
258,45-54,Osteoporosis,2013-10-21,prolia syringe,154218,5,4,I was diagnosed with severe osteoporosis and I just had my second injection of prolia and have not had any side effects. Before prolia I was on Boniva and had severe leg pain and esophagus problems because of it. I feel great since I've been on prolia and I highly recommend it.,5,Female, ,24,0.9994672,0.99938774
259,55-64,Osteoporosis,2013-10-10,prolia syringe,154218,1,1,"Have had my second injection and side effects for me have been TERRIBLE . First one  it lasted 3 wks . One week after second I can hardly get out  of bed . Last one for me . Feel as though I have SEVERE FLU
",1,Female, ,26,0.9997812,0.004065928
260,75 or over,Osteoporosis,2013-10-06,prolia syringe,154218,1,1,"3 weeks after getting the Prolia injection I started to feel leg pain which became unbearable.  This injection was prescribed by my endochronolist who thought this would be good for my iosteoporosis even though my bone density is normal.  I have leg pain with every step that I take. I have been to the emergency room twice.  All tests come back normal. I have been to a vascular specialist, tests came back normal. I am waiting to see a neurologist to see if there is anything that can be suggested.  Going for an MRI soon as well.  I have also seen a chiropractic but no help.  I pray that this medicine leave my body as soon as possible and I will NEVER EVER EVER take this ""medicine"" again and would not wish the constant pain that I am in on my worst enemy.",1,Female, ,34,0.9998342,0.0029662156
261,45-54,Aromatase Inhibitor Drug-Induced Osteoporosis,2013-09-27,prolia syringe,154218,1,1,"My bone density dropped 8 percent in 2 years, just over the Osteopenia stage.  I was very disappointed since I am already doing everything to prevent this: no drinking/smoking, working out, attention to diet, take calcium.  I start Prolia next week to stabilize and increase density.  Will have another Dexa scan after 4 shots.  Praying for no side-effects.  I'm just now starting to really feel great!  I was on Femara for 1 year, Arimidex for almost 1 year now.",1,Female, ,0,0.9992461,0.9995701
262,65-74,Osteoporosis,2013-09-08,prolia syringe,154218,5,3,"FOLLOWING INJECTION, DEVELOPED MULTIPLE SKIN LESIONS (ABSCESSES) ON BUTTOX, GROIN AND ANAL AREAS.",1,Female, ,22,0.39656606,0.998718
263,65-74,Osteoporosis,2013-08-17,prolia syringe,154218,5,1,"Have suffered numerous side effects:  muscle cramps, fatigue, soreness, and most recently a seizure.  I would advise against this medication--side effects are frightening.",1,Female, ,25,0.9995896,0.0006494097
264,55-64,Osteoporosis,2013-07-15,prolia syringe,154218,3,2,"I have been charged $1500 by my doctor.  After being told by Prolia that my insurance would cover this drug, imagine my shock when a bill arrived for $1500.  Now fighting with my insurance company and it's one year later and still not resolved.  I would never have had this drug had I known the cost.  Why won't drug companies give you the facts instead of lying about what you will pay.  It seems to me that only Blythe Danner can afford it!  By the way, my T-Score is -3.5....well below the required -2.5 plus I was on Fosamax for years which did nothing.  I meet all the qualifications yet my insurance won't pay (Blue Cross/Blue Shield).  I was lied to by the drug company and now I must pay.  That's ridiculous - especially for a drug that we aren't even sure will work.",1,Female, ,23,0.99720216,0.0013442796
265,55-64,Osteoporosis in Men due to Deficient Function of Testis,2013-07-13,prolia syringe,154218,3,1,"I really don't know if this drug works but who can really afford it?   I had my first injection last October after the drug company that makes Prolia ""checked with my insurance"" and told me I would only have to pay $50.  Imagine my SHOCK when a bill came from my doctor the following January (2013) for $1500!!  Have been fighting back and forth ever since.  Had to cancel my second shot because I still haven't paid for the first one!  In my estimation, only Blythe Danner can afford it!   I won't be a guinea pig AND pay $3000 a year!  This has been a logistical nightmare and I'm still fighting to get it paid.  Oh, and my T-Score is -3.5   -   well BELOW the requirement so my bones are essentially crumbling.  Fosamax didn't help.  I can't understand why this is so ridiculously expensive.  I have recently gone on Medicare and am now told by the drug company that Medicare Part B pays for most of it - I would have to pay $150.  But I can't really believe them now!!",1,Female, ,2,0.9977089,0.046636906
266,55-64,Osteoporosis,2013-07-01,prolia syringe,154218,4,1,"This is the second time I have taken this.  The first time I had a severe headache for about 3 days straight. Did not take the second shot.  I let my doctor talk me into taking the shot again this year. Have had severe headaches, bone and joint pain, a feeling of lightheadedness, unable to sleep and rest at night.  Will not take this medicine again.",1,Female, ,34,0.9996377,0.00064089394
267,55-64,Osteoporosis,2013-06-19,prolia syringe,154218,4,1,"I have a skin condition thought to be an auto-immune disease ,but MD felt it would be okay for prolia since I could no longer take oral. Prior to my 3rd injection I developed a few hives.( I had been taking plaquenil for my skin condition which is an anti-malaria drug)After injection my rash continued to get much worse, covered from neck to knees with raised,extremely itchy rash.  Plaquenil was thought to be the culprit and it was stopped. I continued to suffer with the rash and itching and a biopsy revealed yet another skin condition.  When I went for my 4th injection,I reviewd all of the above with the nurse practitioner. I received the 4th injection and now have lumps on my head which appeared almost overnight and have had a 3rd skin biopsy.  My improvement in my bone density has been minimal, so I will be stopping the prolia.I will be getting blood tests next week to determine if I have any auto-immune disease that is triggering the skin conditions,but will not re-start prolia. In my case the benefits DO NOT OUTWEIGH THE RISKS>",1,Female, ,29,0.9998554,0.94503605
268,55-64,Osteoporosis,2013-06-09,prolia syringe,154218,1,1,"One shot and I have had 3 upper respiratory infections, a strep infection of the ear, skin rash on ear, hip and leg pain, back pain.  I will never take the drug again.  Not worth the side effects.",1,Female, ,30,0.999554,0.0004895441
269,75 or over,Osteoporosis,2013-05-20,prolia syringe,154218,5,2,"I have had 2 injections of Prolia.  Last month I begin to have pain in my upper right side along w/a dully ache, foggy feelings, arm pain, random headaches, fatigue, chills, and low back pain. I have had 3 rounds of blood tests, upper/lower CT scans, cardiac check up, etc. and nothing shows up.  I believe I am having multiple side effects from the Prolia shots.  I am due for another one and do not intend to take it for fear my symptoms will only get worse.  I have been an active person, going to the gym, eating healthy, and now I can't function at my previous level.  After reading the side effects that other people have had from taking these shots, I'm convinced that they are what is causing all of my discomfort.  No more shots for me!",1,Female, ,38,0.9998559,0.0027093557
270,45-54,Osteoporosis,2013-05-15,prolia syringe,154218,5,5,"I had my 2nd Shot of Prolia , I felt a little off for a few days, which was ok, Then after that No side affects at all!! I work out at the Gym, 5-6 days a week since Feb.1st, I have have a personal trainer 3 days a week. I had my bone density In Jan 2013, I have now Reversed Osteoperosis, My Bone Density increased 10% I am SO Happy!! My spine is  totally normal, Osteopenia with a low T-score in my hips, Due to Lots of exercise, eating a lot of Kale, Green vegetables daily, Juicing daily, and New Chapter Organics  ""Bone Strength"" is amazing to. I feel awesome & I look forward to my next Prolia shot in July! This shot is easy & well tolerated & so happy I got it..  ",5,Female, ,26,0.999005,0.99951744
271,65-74,Osteoporosis,2013-05-02,prolia syringe,154218,5,5,"I have already written a review so this is an update. I had my first Prolia shot 6 months ago and my second one this week. My bone scan given the same day showed that I have already had a 3% increase in bone density.
",5,Female, ,29,0.9971,0.9988896
272,65-74,Osteoporosis,2013-04-29,prolia syringe,154218,5,3,"I am about to have my second injection today. It is too soon for results. They say wait 1 year to 18 months for results to show up on a scan. Hope I see improvement before that. The injection is painless with a tiny needle. I have mild scalp eczema which got worse and peaked at month 4 and had several minor eye infections as well. I wonder when people say their symptoms began the day after the injection as it takes a while for the drug to start working. My doc said that what it does starts slowly, peaks around 4 months then less and less, then it's gone. He believes my symptom were Prolia related as they followed that curve. It's not too much to bear to strengthen bones. Certainly some side effects are preferred over a broken back or hip!",4,Female, ,23,0.99962175,0.9977513
273,55-64,Osteoporosis,2013-04-27,prolia syringe,154218,4,2,"I have had many side effects from Prolia and my endocrinologist confirmed that they are side effects of this drug. A few participants in this forum stated that people would have experienced their medical problems even without taking Prolia, but I don't know how they are qualified to make this judgment. My side effects really kicked in after the fourth injection. Prolia lowers the immune system, so if you've had even the most occasional and minor infections, they can blow up out of control on Prolia. I now have chronic oral herpes, spreading acne, a kidney stone (first time ever), difficulty swallowing pills along with other muscle weaknesses, slow healing, and insomnia. I am on antiviral and antibiotic medications. I went from being a healthy person to this. A 6-month injection is dangerous because you can't back out. Those patients who feel well now may not feel so well after additional injections. My MD told me that Prolia was rejected by the FDA twice before it was approved. That should tell you something. I hope this medication is pulled from the market. And by the way, the endocrinologist I'm referring to is not the one who prescribed Prolia to me. I left that one because he didn't take my complaints seriously.",1,Female, ,43,0.99679416,0.0021555945
274,55-64,Osteoporosis,2013-04-25,prolia syringe,154218,1,1,"Had my first Prolia injection 3 wks ago and have had extreme pain , flu like . Have been taking pain meds already + tylenol + iburprofen .Groin is hurting severely , not sure about effectiveness first injection . But barely able to move let alone exercise . Doc said give it 4 wks . Not sure i can handle next injection at all !!!!!!",1,Female, ,27,0.9997663,0.0007577091
275,55-64,Osteoporosis,2013-04-24,prolia syringe,154218,5,3,"After having three of the prolia doses, I happened to pick up a flyer on it at my drug store. I noticed under the side effects that urinary track infection was listed. After the second dose, I had reoccuring urinary tract infections, which I hadn't had for years!!! 
It has to be caused by the prolia. Also, when reading the other reviews, I noticed that one person had problems with balance. I have had this, too. But, didn't know what was causing it! I am due to see my bone doctor. I just spoke to his nurse. To change to a different type of medication, my insurance deductible will be $1,700 for the different drug! I will certainly have a frank discussion with the doctor! ",1,Female, ,25,0.9997123,0.037880737
276,55-64,Osteoporosis,2013-04-18,prolia syringe,154218,5,5,I will be getting my 4th injection of Prolia next month. My bone density showed improvement after one year of treatment with Prolia. I had tried and failed with many of the other osteoporosis treatments. I have had no side effects other than some nausea with my first injection which might not have been due to the Prolia.,5,Female, ,25,0.9994068,0.9994547
277,55-64,Osteoporosis,2013-04-14,prolia syringe,154218,4,3,"It seems that most people posting to this forum have not taken many Prolia injections. I have taken four. My warning is: the effects of this drug build up over time. You might start out feeling fine, but beware. Here's what happened to me: After my first injection, I had no side effects and was optimistic about this medication. After the second injection, I began coming down with colds and other minor ailments, a rarity for me. After the third injection, I began developing herpes sores in my mouth and insomnia. After the fourth injection, my oral herpes became extensive and chronic, requiring ongoing medication. I developed uncontrollable acne, also requiring medication. The insomnia continues. My mind doesn't seem as sharp and I don't heal as well as I usually do. My Graves Disease has become volatile after a long period of stability. I'm guessing that as more people take this drug in the longer term, Prolia side effects will become widespread. I hope this drug is eventually recalled.",1, , ,35,0.99987483,0.022586428
278,65-74,Aromatase Inhibitor Drug-Induced Osteoporosis,2013-04-10,prolia syringe,154218,2,2,"I need to make a decision whether or not to begin Prolia.  I just finished chemo and radiation for breast cancer and now must take Arimidex (a hormone blocker)for 5 years (my immune system has already been compromised.  My bone scan and dexascan show osteopenia and mild arthritis, I have a family history of osteoporosis, in fact my mom can no longer walk.  I should have started this drug this week but have to delay because of dental issues and need a tooth extraction.  My ONC said I will not be able to take Prolia for 6 months after the extraction because of possible risk of jaw osteonecrosis. I am very worried about taking Prolia at all, lots of people on this site seem to have severe issues. Anyone have teeth extracted while on this drug? Anyone else taking it because of Aromatase inhibitor",2,Female, ,4,0.99979407,0.019297935
